Training loss=2.050951
Validation loss=2.626136
Min Validation loss=2.602863
Iteration of min validation loss=3380

Iterations trained=3743
Duration=642:20

Number of training examples=2925
Number of validation examples=100

Batch size=10
Learning rate=0.001000
Number of input (T)=80

Number of hidden layers=2
Number of hidden units per year=300

Iter=1, Training Loss=7.611105, Validation Loss=7.687644, Time Elapsed=00:07
Iter=2, Training Loss=7.731521, Validation Loss=7.687644, Time Elapsed=00:09
Iter=3, Training Loss=7.755487, Validation Loss=7.687644, Time Elapsed=00:11
Iter=4, Training Loss=7.623134, Validation Loss=7.687644, Time Elapsed=00:13
Iter=5, Training Loss=7.758868, Validation Loss=7.687644, Time Elapsed=00:15
Iter=6, Training Loss=7.680065, Validation Loss=7.687644, Time Elapsed=00:17
Iter=7, Training Loss=7.590461, Validation Loss=7.687644, Time Elapsed=00:19
Iter=8, Training Loss=7.715056, Validation Loss=7.687644, Time Elapsed=00:21
Iter=9, Training Loss=7.609182, Validation Loss=7.687644, Time Elapsed=00:23
Iter=10, Training Loss=7.562995, Validation Loss=7.687644, Time Elapsed=00:25
Iter=11, Training Loss=7.490378, Validation Loss=7.552723, Time Elapsed=00:29
Iter=12, Training Loss=7.528403, Validation Loss=7.552723, Time Elapsed=00:31
Iter=13, Training Loss=7.516558, Validation Loss=7.552723, Time Elapsed=00:33
Iter=14, Training Loss=7.472130, Validation Loss=7.552723, Time Elapsed=00:35
Iter=15, Training Loss=7.487080, Validation Loss=7.552723, Time Elapsed=00:37
Iter=16, Training Loss=7.536379, Validation Loss=7.552723, Time Elapsed=00:39
Iter=17, Training Loss=7.460564, Validation Loss=7.552723, Time Elapsed=00:41
Iter=18, Training Loss=7.523222, Validation Loss=7.552723, Time Elapsed=00:43
Iter=19, Training Loss=7.557849, Validation Loss=7.552723, Time Elapsed=00:45
Iter=20, Training Loss=7.451368, Validation Loss=7.552723, Time Elapsed=00:47
Iter=21, Training Loss=7.351083, Validation Loss=7.359251, Time Elapsed=00:51
Iter=22, Training Loss=7.304428, Validation Loss=7.359251, Time Elapsed=00:53
Iter=23, Training Loss=7.308652, Validation Loss=7.359251, Time Elapsed=00:55
Iter=24, Training Loss=7.337454, Validation Loss=7.359251, Time Elapsed=00:57
Iter=25, Training Loss=7.252051, Validation Loss=7.359251, Time Elapsed=00:59
Iter=26, Training Loss=7.238359, Validation Loss=7.359251, Time Elapsed=01:01
Iter=27, Training Loss=7.272277, Validation Loss=7.359251, Time Elapsed=01:03
Iter=28, Training Loss=7.372478, Validation Loss=7.359251, Time Elapsed=01:05
Iter=29, Training Loss=7.185481, Validation Loss=7.359251, Time Elapsed=01:06
Iter=30, Training Loss=7.336569, Validation Loss=7.359251, Time Elapsed=01:08
Iter=31, Training Loss=7.125905, Validation Loss=7.162188, Time Elapsed=01:13
Iter=32, Training Loss=7.185394, Validation Loss=7.162188, Time Elapsed=01:15
Iter=33, Training Loss=7.239628, Validation Loss=7.162188, Time Elapsed=01:17
Iter=34, Training Loss=7.150071, Validation Loss=7.162188, Time Elapsed=01:19
Iter=35, Training Loss=7.066202, Validation Loss=7.162188, Time Elapsed=01:20
Iter=36, Training Loss=7.044235, Validation Loss=7.162188, Time Elapsed=01:22
Iter=37, Training Loss=7.126641, Validation Loss=7.162188, Time Elapsed=01:24
Iter=38, Training Loss=6.934492, Validation Loss=7.162188, Time Elapsed=01:26
Iter=39, Training Loss=7.071582, Validation Loss=7.162188, Time Elapsed=01:28
Iter=40, Training Loss=6.910791, Validation Loss=7.162188, Time Elapsed=01:30
Iter=41, Training Loss=6.578708, Validation Loss=6.862240, Time Elapsed=01:35
Iter=42, Training Loss=6.793071, Validation Loss=6.862240, Time Elapsed=01:37
Iter=43, Training Loss=6.508630, Validation Loss=6.862240, Time Elapsed=01:39
Iter=44, Training Loss=6.906898, Validation Loss=6.862240, Time Elapsed=01:41
Iter=45, Training Loss=6.876567, Validation Loss=6.862240, Time Elapsed=01:42
Iter=46, Training Loss=6.725684, Validation Loss=6.862240, Time Elapsed=01:44
Iter=47, Training Loss=6.711146, Validation Loss=6.862240, Time Elapsed=01:46
Iter=48, Training Loss=6.845807, Validation Loss=6.862240, Time Elapsed=01:48
Iter=49, Training Loss=6.661404, Validation Loss=6.862240, Time Elapsed=01:50
Iter=50, Training Loss=6.917197, Validation Loss=6.862240, Time Elapsed=01:52
Iter=51, Training Loss=6.492704, Validation Loss=6.741688, Time Elapsed=01:56
Iter=52, Training Loss=6.236775, Validation Loss=6.741688, Time Elapsed=01:58
Iter=53, Training Loss=6.788949, Validation Loss=6.741688, Time Elapsed=02:00
Iter=54, Training Loss=6.882098, Validation Loss=6.741688, Time Elapsed=02:02
Iter=55, Training Loss=6.727073, Validation Loss=6.741688, Time Elapsed=02:04
Iter=56, Training Loss=6.891634, Validation Loss=6.741688, Time Elapsed=02:06
Iter=57, Training Loss=7.060084, Validation Loss=6.741688, Time Elapsed=02:08
Iter=58, Training Loss=6.423378, Validation Loss=6.741688, Time Elapsed=02:10
Iter=59, Training Loss=6.876175, Validation Loss=6.741688, Time Elapsed=02:11
Iter=60, Training Loss=6.437814, Validation Loss=6.741688, Time Elapsed=02:13
